iter	RMSE
0	5111.163873
1	5002.15642
2	4924.355497
3	4857.493449
4	4767.923915
5	4700.24304
6	4639.21958
7	4567.848465
8	4501.053944
9	4454.538181
10	4406.606142
11	4368.201633
12	4327.202953
13	4294.971943
14	4258.538085
15	4218.03781
16	4183.939488
17	4146.986017
18	4116.723749
19	4087.427503
20	4052.557157
21	4027.346847
22	4005.350716
23	3978.006909
24	3953.489651
25	3931.604253
26	3908.721261
27	3886.904276
28	3861.23459
29	3838.694258
30	3818.522489
31	3803.815897
32	3786.468362
33	3772.460592
34	3762.255
35	3740.717124
36	3722.676806
37	3704.254976
38	3690.395606
39	3676.07117
40	3660.489505
41	3645.571475
42	3635.363401
43	3623.38022
44	3611.523661
45	3599.750642
46	3584.180529
47	3572.452259
48	3555.542835
49	3541.231472
50	3529.819445
51	3520.830267
52	3501.263921
53	3488.210211
54	3478.062329
55	3471.239717
56	3459.674297
57	3450.326871
58	3439.462014
59	3429.31091
60	3421.822374
61	3415.234269
62	3406.822919
63	3397.017262
64	3385.891329
65	3376.534027
66	3369.149968
67	3360.342473
68	3356.273814
69	3343.382627
70	3331.880674
71	3321.34508
72	3316.852083
73	3311.04414
74	3301.10167
75	3292.515843
76	3285.259437
77	3277.605306
78	3272.519185
79	3266.996208
80	3258.768735
81	3254.044229
82	3248.079557
83	3240.876353
84	3237.421062
85	3228.233363
86	3222.004719
87	3217.583205
88	3211.355572
89	3202.109922
90	3199.378172
91	3192.940203
92	3181.464824
93	3173.487558
94	3170.017611
95	3163.410849
96	3156.087646
97	3151.120754
98	3145.660797
99	3136.054582
100	3130.582505
101	3126.080368
102	3123.836305
103	3120.12713
104	3116.303328
105	3108.701734
106	3103.928138
107	3100.584568
108	3094.949051
109	3090.101204
110	3082.58692
111	3074.438051
112	3071.070116
113	3065.307308
114	3062.766601
115	3059.733124
116	3054.608847
117	3048.676909
118	3043.137618
119	3035.883842
120	3031.768502
121	3026.950343
122	3023.215257
123	3019.498216
124	3011.903242
125	3006.733993
126	3003.994903
127	2998.570166
128	2991.462922
129	2988.411217
130	2983.339109
131	2979.933587
132	2975.611914
133	2971.374388
134	2967.592101
135	2963.828409
136	2956.277558
137	2950.893983
138	2947.202309
139	2943.250789
140	2938.889588
141	2935.019125
142	2928.35608
143	2925.736782
144	2921.060319
145	2917.090161
146	2914.085517
147	2906.675862
148	2902.307551
149	2899.338455
150	2895.567139
151	2889.892859
152	2886.37282
153	2882.107424
154	2877.682412
155	2873.405891
156	2868.428214
157	2864.02222
158	2860.991863
159	2857.639553
160	2854.724637
161	2852.567121
162	2849.204145
163	2841.940442
164	2838.722532
165	2832.986103
166	2827.620661
167	2824.397405
168	2819.479009
169	2816.606853
170	2813.24951
171	2808.895721
172	2805.84291
173	2803.896168
174	2799.855114
175	2795.375851
176	2791.153117
177	2786.961904
178	2782.092372
179	2777.550659
180	2774.491541
181	2771.120909
182	2767.374337
183	2764.183616
184	2759.573498
185	2757.622527
186	2752.966686
187	2750.234251
188	2747.64837
189	2743.666962
190	2738.598388
191	2735.977433
192	2730.832694
193	2727.796696
194	2725.114367
195	2722.19701
196	2717.409709
197	2714.550573
198	2712.273831
199	2709.652256
200	2708.370804
201	2703.622122
202	2701.161592
203	2696.967503
204	2693.427569
205	2690.498503
206	2688.801817
207	2686.560957
208	2684.180101
209	2681.594728
210	2679.353164
211	2676.960779
212	2675.15296
213	2672.54493
214	2669.343152
215	2667.45975
216	2664.915809
217	2663.04821
218	2661.280503
219	2658.287033
220	2656.498925
221	2652.306457
222	2648.500903
223	2646.238655
224	2642.137281
225	2639.742938
226	2637.537416
227	2634.909931
228	2632.611933
229	2628.766925
230	2626.495615
231	2623.79179
232	2619.690857
233	2618.363869
234	2615.801805
235	2613.528709
236	2611.718849
237	2608.960098
238	2605.394498
239	2602.608592
240	2599.652901
241	2596.63403
242	2594.101891
243	2590.958229
244	2588.697925
245	2586.52898
246	2586.345601
247	2583.545099
248	2581.414425
249	2578.697725
250	2576.821209
251	2574.736123
252	2571.010259
253	2570.228281
254	2568.249092
255	2564.955315
256	2562.70565
257	2558.780924
258	2557.104669
259	2553.571848
260	2551.553798
261	2549.384895
262	2546.757017
263	2543.493384
