iter	Passed	Remaining
0	53	53944
1	90	45065
2	136	45282
3	174	43442
4	254	50581
5	300	49702
6	339	48229
7	377	46831
8	460	50720
9	512	50780
10	554	49843
11	619	51027
12	671	50949
13	717	50531
14	763	50130
15	802	49369
16	874	50584
17	919	50146
18	952	49201
19	999	48974
20	1078	50297
21	1123	49922
22	1159	49246
23	1201	48872
24	1275	49732
25	1347	50490
26	1384	49898
27	1422	49393
28	1479	49554
29	1549	50096
30	1587	49607
31	1625	49171
32	1684	49368
33	1748	49682
34	1785	49219
35	1829	48986
36	1877	48874
37	1959	49597
38	1994	49147
39	2047	49130
40	2200	51459
41	2287	52182
42	2324	51725
43	2362	51323
44	2399	50916
45	2498	51825
46	2535	51420
47	2576	51098
48	2612	50695
49	2688	51090
50	2753	51229
51	2795	50958
52	2832	50608
53	2893	50694
54	2933	50408
55	2979	50233
56	3037	50249
57	3078	49994
58	3115	49696
59	3237	50719
60	3275	50423
61	3315	50161
62	3395	50497
63	3455	50539
64	3495	50283
65	3537	50060
66	3595	50072
67	3671	50316
68	3711	50080
69	3748	49806
70	3814	49906
71	3882	50043
72	3918	49764
73	3960	49557
74	4018	49561
75	4087	49691
76	4139	49618
77	4196	49601
78	4231	49327
79	4265	49055
80	4325	49080
81	4391	49157
82	4437	49023
83	4475	48809
84	4542	48896
85	4605	48950
86	4641	48714
87	4678	48486
88	4714	48252
89	4752	48057
90	4829	48238
91	4871	48076
92	4907	47860
93	4944	47654
94	5020	47830
95	5063	47678
96	5100	47485
97	5136	47279
98	5222	47525
99	5261	47349
100	5296	47145
101	5335	46973
102	5432	47311
103	5469	47122
104	5510	46973
105	5565	46935
106	5645	47117
107	5678	46900
108	5720	46758
109	5762	46627
110	5847	46833
111	5884	46659
112	5921	46482
113	5962	46339
114	6018	46312
115	6077	46313
116	6146	46387
117	6182	46209
118	6233	46151
119	6270	45980
120	6363	46225
121	6421	46216
122	6466	46107
123	6506	45965
124	6560	45922
125	6650	46128
126	6684	45950
127	6729	45846
128	6767	45691
129	6824	45674
130	6874	45604
131	6934	45597
132	6970	45441
133	7038	45486
134	7084	45395
135	7152	45437
136	7193	45315
137	7246	45266
138	7284	45121
139	7367	45259
140	7424	45234
141	7465	45106
142	7508	44999
143	7561	44951
144	7631	44997
145	7684	44948
146	7729	44850
147	7774	44756
148	7860	44892
149	7898	44758
150	7938	44635
151	8025	44775
152	8067	44659
153	8106	44535
154	8143	44396
155	8223	44490
156	8273	44425
157	8309	44280
158	8349	44161
159	8451	44369
160	8497	44280
161	8537	44161
162	8586	44091
163	8634	44013
164	8675	43902
165	8747	43950
166	8798	43886
167	8845	43805
168	8888	43705
169	8963	43762
170	9016	43710
171	9052	43576
172	9090	43455
173	9175	43555
174	9244	43581
175	9285	43473
176	9377	43603
177	9440	43598
178	9476	43462
179	9533	43432
180	9596	43421
181	9640	43328
182	9684	43237
183	9748	43234
184	9823	43278
185	9859	43149
186	9914	43106
187	9966	43045
188	10018	42991
189	10051	42852
190	10086	42723
191	10128	42625
192	10208	42685
193	10257	42615
194	10297	42510
195	10330	42375
196	10399	42390
197	10465	42389
198	10503	42278
199	10543	42173
200	10580	42060
201	10641	42037
202	10700	42010
203	10735	41890
204	10770	41770
205	10851	41826
206	10902	41767
207	10961	41739
208	11020	41708
209	11059	41604
210	11123	41595
211	11167	41508
212	11230	41494
213	11271	41398
214	11341	41409
215	11391	41347
216	11441	41283
217	11488	41212
218	11535	41138
219	11595	41110
220	11639	41029
221	11684	40948
222	11762	40985
223	11799	40875
224	11851	40820
225	11893	40731
226	11929	40621
227	11982	40571
228	12045	40556
229	12096	40497
230	12134	40396
231	12188	40348
232	12241	40296
233	12300	40266
234	12345	40188
235	12391	40115
236	12479	40177
237	12518	40080
238	12562	40000
239	12596	39888
240	12665	39889
241	12729	39870
242	12764	39765
243	12803	39670
244	12853	39611
245	12919	39600
246	13005	39646
247	13047	39563
248	13088	39475
249	13158	39474
250	13224	39462
251	13269	39387
252	13339	39385
253	13383	39307
254	13476	39373
255	13533	39332
256	13571	39235
257	13646	39247
258	13736	39301
259	13780	39221
260	13839	39185
261	13932	39245
262	13973	39157
263	14024	39099
264	14125	39178
265	14195	39170
266	14253	39129
267	14356	39212
268	14451	39272
269	14811	40046
270	14913	40119
271	14992	40127
272	15094	40195
273	15177	40214
274	15216	40115
275	15253	40013
276	15378	40138
277	15473	40185
278	15523	40117
279	15634	40202
280	15744	40285
281	15825	40294
282	15948	40406
283	16042	40445
284	16131	40470
285	16172	40373
286	16269	40418
287	16373	40479
288	16463	40502
289	16559	40541
290	16608	40464
291	16742	40595
292	16847	40652
293	16915	40619
294	16973	40564
295	17233	40988
296	17312	40979
297	17383	40950
298	17472	40963
299	17561	40977
300	17700	41104
301	17756	41040
302	17830	41016
303	17894	40969
304	17962	40931
305	18021	40872
306	18081	40815
307	18149	40776
308	18252	40816
309	18337	40815
310	18591	41188
311	18727	41296
312	18960	41616
313	19018	41550
314	19113	41563
315	19278	41729
316	19350	41692
317	19421	41652
318	19538	41711
319	19601	41652
320	19690	41650
321	19739	41564
322	19787	41473
323	19852	41420
324	19927	41387
325	19988	41325
326	20038	41240
327	20092	41164
328	20216	41230
329	20329	41274
330	20378	41187
331	20460	41166
332	20533	41128
333	20579	41034
334	20729	41149
335	20817	41138
336	20866	41051
337	21038	41204
338	21253	41440
339	21367	41477
340	21515	41580
341	21635	41626
342	21690	41547
343	21725	41430
344	21804	41396
345	21891	41379
346	21952	41310
347	22008	41233
348	22074	41176
349	22143	41123
350	22194	41036
351	22248	40956
352	22348	40961
353	22408	40891
354	22442	40776
355	22497	40696
356	22579	40668
357	22627	40577
358	22691	40515
359	22835	40597
360	22905	40544
361	22970	40483
362	23085	40511
363	23154	40456
364	23238	40429
365	23279	40326
366	23345	40266
367	23441	40258
368	23484	40159
369	23523	40053
370	23556	39937
371	23635	39900
372	23701	39841
373	23742	39739
374	23793	39655
375	23930	39715
376	23991	39646
377	24089	39639
378	24132	39541
379	24191	39470
380	24305	39489
381	24340	39378
382	24379	39274
383	24452	39226
384	24539	39199
385	24584	39105
386	24662	39064
387	24719	38989
388	24778	38919
389	24862	38886
390	24939	38844
391	24981	38747
392	25075	38729
393	25147	38679
394	25189	38581
395	25233	38487
396	25316	38453
397	25402	38423
398	25457	38345
399	25505	38258
400	25573	38201
401	25670	38187
402	25721	38103
403	25785	38040
404	25956	38133
405	26094	38176
406	26190	38159
407	26306	38170
408	26366	38099
409	26422	38023
410	26502	37980
411	26539	37876
412	26599	37805
413	26689	37778
414	26762	37725
415	26806	37632
416	26888	37592
417	26972	37555
418	27028	37478
419	27110	37438
420	27188	37391
421	27243	37314
422	27337	37290
423	27505	37366
424	27609	37354
425	27774	37424
426	27877	37409
427	28044	37479
428	28130	37442
429	28259	37460
430	28354	37432
431	28441	37395
432	28494	37313
433	28560	37247
434	28628	37184
435	28828	37292
436	28976	37331
437	29092	37328
438	29173	37281
439	29278	37263
440	29357	37213
441	29465	37198
442	29594	37210
443	29672	37157
444	29709	37053
445	29760	36967
446	29825	36898
447	29913	36857
448	30017	36836
449	30088	36774
450	30156	36709
451	30267	36695
452	30325	36618
453	30437	36606
454	30510	36545
455	30535	36428
456	30615	36376
457	30753	36394
458	30906	36427
459	30986	36375
460	31107	36370
461	31177	36306
462	31277	36276
463	31368	36236
464	31491	36232
465	31549	36153
466	31630	36100
467	31695	36029
468	31801	36005
469	31890	35961
470	31953	35888
471	32002	35799
472	32128	35796
473	32217	35751
474	32285	35683
475	32365	35629
476	32485	35618
477	32578	35577
478	32672	35536
479	32760	35490
480	32837	35432
481	32945	35405
482	32998	35321
483	33055	35240
484	33171	35223
485	33238	35153
486	33333	35113
487	33375	35016
488	33437	34941
489	33512	34880
490	33571	34802
491	33637	34731
492	33716	34673
493	33792	34613
494	33862	34546
495	33937	34485
496	34074	34486
497	34323	34598
498	34514	34653
499	34711	34711
500	34796	34657
501	34883	34605
502	34996	34579
503	35071	34515
504	35196	34499
505	35290	34453
506	35350	34374
507	35454	34337
508	35512	34257
509	35618	34221
510	35655	34120
511	35710	34036
512	35772	33959
513	35863	33909
514	35914	33822
515	35983	33751
516	36070	33698
517	36108	33598
518	36195	33544
519	36280	33489
520	36330	33401
521	36404	33336
522	36490	33281
523	36591	33239
524	36839	33330
525	36956	33303
526	37124	33320
527	37319	33361
528	37391	33291
529	37554	33302
530	37650	33254
531	37708	33172
532	37833	33148
533	37930	33100
534	38133	33143
535	38223	33088
536	38319	33038
537	38401	32976
538	38468	32901
539	38578	32863
540	38645	32787
541	38729	32726
542	38781	32639
543	38869	32581
544	38953	32521
545	39101	32513
546	39185	32451
547	39236	32362
548	39326	32306
549	39418	32251
550	39584	32257
551	39652	32181
552	39774	32150
553	39837	32071
554	39899	31991
555	40006	31947
556	40131	31917
557	40204	31846
558	40274	31773
559	40353	31706
560	40453	31656
561	40585	31630
562	40650	31552
563	40750	31502
564	40828	31434
565	40887	31351
566	40998	31309
567	41098	31257
568	41179	31192
569	41274	31136
570	41397	31102
571	41496	31050
572	41540	30956
573	41596	30871
574	41674	30803
575	41726	30715
576	41828	30664
577	41891	30585
578	41997	30537
579	42111	30494
580	42187	30424
581	42290	30373
582	42328	30276
583	42389	30195
584	42493	30144
585	42558	30067
586	42692	30037
587	42775	29972
588	42864	29910
589	43011	29889
590	43108	29833
591	43192	29768
592	43291	29712
593	43360	29636
594	43454	29578
595	43551	29521
596	43625	29449
597	43749	29410
598	43836	29346
599	43956	29304
600	44079	29264
601	44157	29194
602	44232	29121
603	44327	29062
604	44419	29001
605	44508	28937
606	44584	28866
607	44655	28791
608	44739	28724
609	44835	28665
610	44985	28640
611	45050	28561
612	45152	28505
613	45203	28417
614	45289	28352
615	45417	28312
616	45485	28234
617	45607	28191
618	45653	28100
619	45734	28030
620	45802	27953
621	45873	27877
622	45973	27820
623	46033	27737
624	46119	27671
625	46201	27603
626	46306	27547
627	46416	27495
628	46517	27437
629	46626	27383
630	46703	27311
631	46786	27242
632	46908	27196
633	47011	27139
